Address,Balance
0xB301692d32995AD88C5518860E7Bbd8703B5cd18,33068443958821377764
0x54C6B50c304F33Ad61faA9BdEA4396A3143E26B4,33053750000000000000
0x4Fc6f6E92b6fe9D2c46640BB45a68032090ffA20,32983000000000000000
0x84e99CCC19da8290A754cb015cA188676d695f0A,32962129014725586170
0x29428bC42925934b1f4E1CC3Aaa60776fb6EEff6,32906155799926179926
0xa11C915d2981D7F09043e77e9f9095E71E308Cfe,32297579187779621569
0x7D8d6aAD4E2a5e5bD4060b6ac9A95bB3358A86Fc,32076102768981095227
0xA36bC7a60d3A6F8a64e06dE99650cF6EE3d3df9f,31865763728366619073
0xfaC44BFdC053a9615c6B0527F44416914628A0C4,31503077004695031401
0x78C15e2aba46157EBc3AA87f730cDa8CB11AcD16,31276682381238391262
0xA224d9f233815fB24ecfc5524F742481ae55E3C1,30598319947039198066
0x7D41f26216D1239d20Ac06a15Bd7040EA0725b6C,30575743654049658458
0x2b1856F49206c4440c718657ac1Eaf7c6B50377e,30468748019443775122
0x9774d673989F4EB5a4aa8605CEB4664d75ec1289,30291328904613076581
0x337ae556566Fb0aEC3e0007224C8b52d941Ebff4,30095825573740052238
0xBB0264f6BbF60e907Ed4FCFb001db3213C3B3971,30083762653483950142
0x46F1Fd1239eF23FD887568E6F05d8fbCe75128B1,30076136117143437891
0x4EdE13d0fCc2eC79094f7204A16B5247E27E05a4,30000000000000000000
0x7EEc2913cf0aa9329530aBC0b2c1062F62fe062e,30000000000000000000
0xf905B9e53d6d0d698E6A5a203c8AFE42a30c8A3e,29817425978001941229
0xfA8d00fca1811493284c86c1941Ef4510E8EAbA4,29788642838800550259
0x98a9109FaaF882737B448bFC1D68D04EAc3b3888,29577000000000000000
0xfe61c7a4Be8F4667862b0099d63767c90c8A09a1,29485290041630760153
0xA2b864a47D72a4e477174B213c69Eb3e834AcB68,29240094803660300968
0x0Efa13bF1fA1b290D083d6274352B1E89Ab56035,29115895952938174225
0xAcF3420e0E9F2aC391841ab5Deb6547EFDdc2BDE,29000000000000000000
0x392a5447565F4fFFFD1921fDD17F8C663D84f81a,28792411960063117966
0x535926b17b9df2CD132E1Ff123CB49DbF6FF1834,28652174863921674964
0xd770e9cB6AB25E13eC4aF522d87184B0B1A94234,28631278504057775712
0xe6a6eE4196D361ec4F6D587C7EbE20C50667fB39,2.855756284009673e+19
0x88deAdae8c22bEaCb35dE348536D3e52D5eF8BF1,28427374228883040583
0x33065fBd94793B8475917754647E9C91BDB8F05e,28379439886890788147
0xc1Fb7E11e4A5bFAFAbC542D9363029d0C3a263D6,28245700000000000000
0x295c0dBf567933568aDE997C80Eb28014eE4519A,28060880060000000000
0x73659027E1F4A0fc7a6454C43eE4C6044E57a896,28054198250779635095
0x69E2022a59eA00CB1c2C488d776c6E050a3d936a,28000000000000000000
0x06C6dEb945FE5AFa9A98F1ba41fD9992C3CE926C,27970614800121798600
0xBb3fd383d1C5540E52EF0A7bcb9433375793aEAF,27888000000000000000
0x0E9bD9Ac02Bb9196680C59c0bAF726d7654B74cb,27865787380000000000
0x5b06589608B2b11C5aBb39E7dDb58979e46132Ad,27658322740522696490
0x0B5D1A5a58Ca0586cd33050DBC51927A25F32081,27613519341347677510
0xe6C79d706412f4800b7F21d12dA318Bc9e61b955,27435616123911710739
0xCc23d10A80E8aC8F9fb1F1707e4283d95CBCc49A,27401490327544783323
0xa7418a69F84DF25223B156f3EfB5B061660aB057,27314107059278404250
0xDcc8DE989BEae253266E0470f79c4D8Ad0770Fc3,27292994930921033602
0x242456CfFC3C3a0268549Bd5B5d4424EaA97E5EF,26801082333724492019
0xd319658508D7B08b232489f3cbbF4766A9f17FEf,2.669864525262391e+19
0x556de96C965368424DF9837C4D05B230774F1B38,2.627506276345331e+19
0xcBABa726fB837e15215413A7475ea4753277C2cd,26133300000000000000
0x591c9304c2cecA8B4e8A6cE97D30DBe5d4dD640B,25931126622831874348
0x6c4A9F2C62cAC85A0025AcDbA26067Eac238f7BE,2.5812963279710708e+19
0x7ff390fb3E822d01B103159d505851ab812aC51d,25704410646504411674
0xD4a90c6f51149f0D68301a5fAC09FB2Bb7C5A5eb,2.5220976471857443e+19
0xAf48B6bf6f8e59d22F090A3ad0A45AE862eF1059,25052571343513451614
0xeE6F989DaBE22E669B8ab0E26799843f302B2051,25000000000000000000
0xEC2C3D7F4541d2c473d9Ad0A53fA6F115CD8dB47,25000000000000000000
0x6f74e70088E05b315625a69703e28307D3023547,24868287652875439655
0x7fe02ca835B711928505Ea6725cCcA6dce6Db9e7,24676761528545256924
0x464A6d7DEe88B47D2Ba9713F511932fAd81FA724,24507871454421721518
0xBbC26a42F060bb38f174B0Fa7e3229947a693c09,24488600000000000000
0xC33a95b18a8986ae960ED4bE8e584fA939445e77,24477000000000000000
0xF19f4490A7fCCfEf2DaB8199ACDB2Dc1B9027C18,2.4471974306378674e+19
0x2ee8Ebfc91bf1B81C0369177A2d2136B4A748AAd,24317733073242906668
0x2d0Fc8590d572D34D54f2bc8896c15f9AbD84fd7,24314201752457733533
0x132307d3429066C35e19c101E6F89Da473F8d7A7,24299028240685813881
0xE11226c30E821DB2835868fC13BDE226Db09F35a,24245630576175738078
0x3BB5284c01fc08d315499E5B506bF785DF60F8a8,2.4036198879404716e+19
0xdC60bec4eA38C6AC4968e5e5879E9d7D4885EcA2,23601040226808785827
0xA486a27B7834B15513278a9d4F93933A8Af52880,23536474864036799257
0x55E236a3023ab39F1C8C23399b0E0D0bE98dA4E8,23394300000000000000
0xF38eAE25E6E2E43Ac979C5B559885Df5F4c61B61,23261755004836278317
0xE174EA2a7D3eA9063d986Eb5d49b4d6684bE873A,23162328258493490196
0x4BB7A931b97ffC4dD3030b2fA255100cFae3018a,23110067768621972319
0x3c92E144062297cFD08a5a9BAaB59AaabD3231F3,2.3044732536963592e+19
0xd0e4677FfF45c18Ba266FF79ce3F2CC4F449A862,22838165796792832212
0x0c9E711D278Bc09823a05Ab101d6e48Ee6950B68,22808992863398829231
0x540A5f5969A635f0e971606a38E40CaDe2443eF5,22790177900000000000
0xD53061BF1DFfDF7cb150752d258d9d0399269E09,22651631028862741037
0x3B082eB9c6E0BEBbD64434a984981AdF2A9d9Ab2,22624775000000000000
0xEFb353744F57b63a03315137d7dA2d3259C1a19d,22583530500000000000
0x6f4CA34176eBb84feEae71e03A94a10d78De1CAc,22301779333634523461
0x4275fe065175d66BF0E7d79a2587B88512b1597A,22254200000000000000
0x7a0E166D6394A821dB138035b34FF9aef5F43479,2.224928340795205e+19
0x2098c521879E63363eB88b8Dba7AC01337746cD5,22162414401661577367
0x3E640A24Ce578d6142bA5c4f196a72C0e629BF1d,22012120699999999999
0xBe7198483F380116a20cb58dB935776aD78794d5,21883160000000000000
0x1e55445EF102394F4806aa559e2e0D8F6481bD1F,21825302770000000000
0x348CCAD3baFe2ff3ccc3a3Bc175aA555C42113D1,21700088549919062827
0x185a38208179DB734f43C704062B26793e3263Cd,21622071479229665950
0x546ea8D0D8e7cC4fA595e1Cc37FbdaDfb3576396,2.1571874585600586e+19
0xd2A993B95BA305FDaEB10e722Cb3df77451AbeBa,2.1476630862550413e+19
0xC4c454a9Adc450Be819DaB691B01703CC3cF27C4,21254567390000000000
0xdBe8BAc01CfF65a91C11A6EBD20CB32655935474,21237352361358493427
0x30716256C590991775A48aB28dD4b899D6c95031,21155000000000000000
0xd418870bc2E4fa7b8A6121Ae0872D55247b62501,21093742137340943625
0x89F28Bc8faecAA7B1523532372f30EdCB11Cf3be,2.108068195018306e+19
0x4e65175f05B4140a0747c29cce997CD4BB7190d4,20929758825086708855
0x9Aa32CAdf2f3E7d360385105fd0B22f576e32Cfe,20915589650000000000
0x0754C7E842E1C7454F108590D9Fef6ee9457984a,20890000000000000000
0xcC1171626a0E5998fb068fd5CAe47A1C22f03516,20870260338689856329
0x76C2a341006F19504ad29b31ac2886063c080845,20757590000000000000
0xEb0Cbe40c8cdfA1838A21a031edfb401EAEFc651,20720336755684141523
0x3430D0e3C188FD92fA6fE0B5D173c6117516ff4c,20645700000000000000
0x776b0edFE432B831e8f2A81d5576Ce018760c56E,20573592245329503902
0x2b056Ef5DcE8cae3E6A62839b00cA4234538383B,20550044074935679240
0x8b3d48AD8CC723a8aF4D191f6900d28CbAE1dC87,2.040556969120282e+19
0xdD12fC8cEa897d1bA6935fe54e39763103fCF260,20385790000000000000
0x672903BC5358d1b9720F4FE016d4115C3CC47eAe,20317504647353746125
0x2Cca6b8821D53e2d7c7fc321D21e83FDBe5cb362,2.0153761173724578e+19
0xc073Aee52F8aC450BBC2032746E69bfD4428A322,20136880355748081674
0x78695cd21125f66eeB5A4D2Da6e7C96b81f4f436,20100379199780963064
0x3955192aC5ba00F9ec028Aea240d8177F48c70dC,20056924575529249331
0x812E4641aef9833013eE7F9502F39C7dA9300ED9,20000755840000000000
0x53C4A0Cb4D603FF15331a5351f80fb5C20F2384D,20000061270635633444
